"Views","Show View","Alt+Shift+Q, Q","In Windows"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"File","Save All","Ctrl+Shift+S","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"C/C++ Source","Go to Previous Member","Ctrl+Shift+Up","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"C/C++ Source","References","Ctrl+Shift+G","C/C++ Editor"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Task Repositories","New Local Task","Insert","In Tasks View"
"C/C++ Source","Go to Matching Bracket","Ctrl+Shift+P","C/C++ Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Line End","End","Editing Text"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"SVN","Latest from Repository","Ctrl+Alt+L","In Windows"
"C/C++ Source","Open Element","Ctrl+Shift+T","In C/C++ Views"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Refactor - C++","Rename - Refactoring ","Alt+Shift+R","C/C++ Editor"
"Edit","Delete","Delete","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Views","Show View (Project Explorer)","Ctrl+Alt+Q","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"SVN","Commit...","Ctrl+Alt+C","In Windows"
"C/C++ Source","Go to Next Member","Ctrl+Shift+Down","C/C++ Editor"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"SVN","Add to svn:ignore...","Ctrl+Alt+I","In Windows"
"C/C++ Source","Surround With Quick Menu","Alt+Shift+Z","C/C++ Editor"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Reverse Debugging Commands","Reverse Step Into","Shift+F5","Debugging C/C++"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In C/C++ Views"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Run/Debug","Debug","F11","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Edit","Select Enclosing C/C++ Element","Alt+Shift+Up","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Run/Debug","Step Return","F7","Debugging"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Edit","Select Previous C/C++ Element","Alt+Shift+Left","C/C++ Editor"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Refactor - C++","Extract Function - Refactoring ","Alt+Shift+M","C/C++ Editor"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Show In (Project Explorer)","Ctrl+Alt+W","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Select Next C/C++ Element","Alt+Shift+Right","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"C/C++ Source","Open Element","Ctrl+Shift+T","C/C++ Editor"
"Run/Debug","Run Last Launched External Tool","F9","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"C/C++ Source","Declaration","Ctrl+G","In C/C++ Views"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"SVN","Show Properties","Ctrl+Alt+T","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"C/C++ Source","Organize Includes","Ctrl+Shift+O","C/C++ Editor"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Run/Debug","Step Over","F6","Debugging"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","C/C++ Editor"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Window","Toggle Full Screen","Alt+F11","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"File","New","Ctrl+N","In Windows"
"SVN","Update to Revision","Ctrl+Alt+D","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"C/C++ Source","Add Include","Ctrl+Shift+N","C/C++ Editor"
"C/C++ Source","Toggle Mark Occurrences","Alt+Shift+O","C/C++ Editor"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"SVN","Synchronize with Repository","Ctrl+Alt+S","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Refactor - C++","Toggle Function - Refactoring ","Alt+Shift+T","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Refactor - C++","Extract Local Variable - Refactoring ","Alt+Shift+L","C/C++ Editor"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"File","Close","Ctrl+W","In Windows"
